width,workload,instructions_fetched,instructions_committed,squashed_fraction,window_cycles,throughput_ipc,latency_mean_cycles,latency_median_cycles,latency_p90_cycles,latency_max_cycles,fetch_to_decode,decode_to_rename,rename_to_dispatch,dispatch_to_issue,issue_to_complete,complete_to_retire,uops_per_inst,throughput_ipc_macro,full_run_ipc
1,branchy,73079,65262,0.107,85296.0,0.7651,9.441,9.0,12.0,17.0,1.397,1.0,2.004,0.769,1.0,3.271,2.034,0.3761,0.3752
2,branchy,81249,65150,0.1981,54715.0,1.1907,10.051,10.0,12.0,17.0,1.704,1.0,2.005,1.061,1.0,3.281,2.034,0.5853,0.5848
4,branchy,102510,65114,0.3648,41662.0,1.5629,11.557,11.0,15.0,44.0,1.861,1.0,2.048,1.229,1.0,4.419,2.034,0.7683,0.7692
8,branchy,124425,66773,0.4633,34821.0,1.9176,12.559,12.0,16.0,38.0,1.808,1.0,2.088,1.488,1.0,5.176,2.034,0.9426,0.9166
1,bsort,62018,56952,0.0817,62430.0,0.9123,15.877,16.0,17.0,22.0,5.549,1.0,2.017,1.636,1.0,4.674,1.751,0.521,0.5125
2,bsort,66225,55508,0.1618,35824.0,1.5495,12.76,13.0,15.0,22.0,3.29,1.0,2.057,1.721,1.0,3.691,1.751,0.8849,0.8937
4,bsort,79894,54803,0.3141,23256.0,2.3565,15.28,15.0,18.0,28.0,4.654,1.0,2.175,1.573,1.0,4.877,1.751,1.3457,1.3766
8,bsort,110969,53820,0.515,21494.0,2.504,20.798,19.0,29.0,60.0,4.798,1.0,2.469,3.413,1.0,8.118,1.751,1.43,1.4862
1,dep_chain,52095,52095,0.0,64125.0,0.8124,7.923,7.0,9.0,9.0,1.0,1.0,2.0,0.769,1.154,2.0,1.625,0.4999,0.4991
2,dep_chain,52136,52136,0.0,40114.0,1.2997,9.615,10.0,10.0,11.0,1.0,1.0,2.0,2.0,1.154,2.462,1.625,0.7997,0.7979
4,dep_chain,52126,52126,0.0,36181.0,1.4407,96.154,96.0,98.0,98.0,23.27,1.0,2.942,40.77,1.154,27.019,1.625,0.8865,0.8868
8,dep_chain,52114,52114,0.0,36213.0,1.4391,136.039,136.0,140.0,140.0,25.154,1.0,4.692,63.202,1.154,40.837,1.625,0.8855,0.887
1,fp_matmul,61249,59733,0.0248,61654.0,0.9688,21.502,22.0,22.0,29.0,5.906,1.0,2.0,2.906,1.077,8.613,1.845,0.525,0.5192
2,fp_matmul,62199,60546,0.0266,33875.0,1.7873,10.901,10.0,13.0,16.0,1.219,1.0,2.0,1.82,1.077,3.785,1.845,0.9686,0.945
4,fp_matmul,67193,62095,0.0759,21983.0,2.8247,42.996,41.0,60.0,63.0,3.955,1.0,2.108,7.151,1.077,27.706,1.845,1.5309,1.4575
8,fp_matmul,68391,63157,0.0765,18995.0,3.3249,62.364,59.0,89.0,93.0,7.941,1.0,2.512,9.658,1.077,40.176,1.845,1.8019,1.6898
1,int_alu,33437,33437,0.0,36917.0,0.9057,7.0,7.0,7.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,1.041,0.8697,0.867
2,int_alu,33524,33524,0.0,20058.0,1.6714,29.376,29.0,32.0,34.0,1.0,1.0,2.0,12.447,1.0,11.929,1.041,1.605,1.598
4,int_alu,33656,33656,0.0,11853.0,2.8394,51.526,51.0,55.0,58.0,9.635,1.0,2.182,17.189,1.0,20.52,1.041,2.7267,2.7118
8,int_alu,33761,33761,0.0,8716.0,3.8735,54.553,54.0,59.0,62.0,7.83,1.0,2.442,19.619,1.0,22.663,1.041,3.7197,3.6947
1,mem_chase,31272,31272,0.0,118968.0,0.2629,249.271,309.0,320.0,789.0,126.719,1.0,4.794,27.933,1.0,87.825,1.81,0.1452,0.2695
2,mem_chase,25943,25943,0.0,103640.0,0.2503,395.805,397.0,412.0,871.0,138.964,1.0,6.194,68.626,1.0,180.021,1.81,0.1383,0.3113
4,mem_chase,25823,25823,0.0,103336.0,0.2499,665.292,696.0,724.0,1164.0,151.497,1.0,8.872,140.987,1.0,361.936,1.81,0.138,0.3116
8,mem_chase,25792,25792,0.0,103838.0,0.2484,943.067,920.0,1051.0,1648.0,161.818,1.0,18.483,213.988,1.0,546.777,1.81,0.1372,0.3117
1,mem_stream,64110,64110,0.0,145904.0,0.4394,147.368,147.0,147.0,697.0,75.297,1.0,3.275,6.415,1.0,60.382,2.077,0.2116,0.2196
2,mem_stream,69870,69870,0.0,123605.0,0.5653,172.454,132.0,216.0,716.0,59.641,1.0,3.294,11.018,1.0,96.501,2.077,0.2722,0.2591
4,mem_stream,43655,42197,0.0334,85882.0,0.4913,63.776,90.0,102.0,611.0,51.125,1.0,7.823,0.35,1.0,2.478,2.077,0.2366,0.3755
8,mem_stream,37074,35464,0.0434,72289.0,0.4906,71.73,102.0,112.0,612.0,57.927,1.0,8.503,0.535,1.0,2.765,2.077,0.2362,0.4447
