run,policy,threads,workloads,cycles,insts_total,ipc_total,seq_ipc,throughput_speedup,weighted_speedup,rob_full_per_kinst,iq_full_per_kinst,sq_full_per_kinst,lq_full_per_kinst,cond_mispred_rate,btb_hit_ratio,ipc_t0,alone_ipc_t0,share_t0,ipc_t1,alone_ipc_t1,share_t1,ipc_t2,alone_ipc_t2,share_t2,ipc_t3,alone_ipc_t3,share_t3
smt2_bsort+branchy,default,2,bsort + branchy,4480456,5581638,1.246,0.966,1.289,1.289,3.02,0.1,6.89,0.0,0.1212,0.988,0.576,1.3766,0.419,0.67,0.7692,0.87,,,,,,
smt2_bsort+bsort,default,2,bsort + bsort,3630023,4999981,1.377,1.377,1.001,1.001,0.01,0.02,0.45,0.0,0.3126,0.378,0.689,1.3766,0.5,0.689,1.3766,0.5,,,,,,
smt2_dep_chain+dep_chain,default,2,dep_chain + dep_chain,5253499,5999936,1.142,0.887,1.288,1.288,0.0,0.0,0.21,0.0,0.6662,0.2,0.571,0.8868,0.644,0.571,0.8868,0.644,,,,,,
smt2_dep_chain+mem_chase,default,2,dep_chain + mem_chase,4877568,3001583,0.615,0.886,0.695,0.695,507.05,0.2,0.47,0.0,0.0003,0.999,0.615,0.8868,0.694,0.0,0.3116,0.001,,,,,,
smt2_fp_matmul+int_alu,default,2,fp_matmul + int_alu,1706328,4416636,2.588,2.125,1.218,1.218,13.92,20.62,13.65,0.0,0.0174,0.998,0.83,1.4575,0.57,1.758,2.7118,0.648,,,,,,
smt2_fp_matmul+mem_chase,default,2,fp_matmul + mem_chase,3584687,5113741,1.427,0.578,2.467,2.467,5.46,0.01,236.32,0.0,0.0114,0.999,0.837,1.4575,0.574,0.59,0.3116,1.892,,,,,,
smt2_int_alu+dep_chain,default,2,int_alu + dep_chain,1780529,4576383,2.57,1.587,1.62,1.62,4.12,101.23,0.28,0.0,0.0005,0.998,1.685,2.7118,0.621,0.885,0.8868,0.998,,,,,,
smt2_int_alu+int_alu,default,2,int_alu + int_alu,2086524,5999947,2.876,2.712,1.06,1.06,0.01,27.02,0.2,0.0,0.9931,0.251,1.438,2.7118,0.53,1.438,2.7118,0.53,,,,,,
smt2_int_alu+mem_chase,default,2,int_alu + mem_chase,3125178,3001583,0.96,2.701,0.356,0.356,324.64,0.1,0.44,0.0,0.0032,0.99,0.96,2.7118,0.354,0.001,0.3116,0.002,,,,,,
smt2_int_alu+mem_stream,default,2,int_alu + mem_stream,3124698,3001484,0.961,2.703,0.355,0.355,324.54,0.14,0.46,0.0,0.0031,0.99,0.96,2.7118,0.354,0.0,0.3755,0.001,,,,,,
smt2_mem_chase+int_alu,default,2,mem_chase + int_alu,3125852,3001583,0.96,2.701,0.356,0.356,324.72,0.07,0.43,0.0,0.0031,0.99,0.001,0.3116,0.002,0.96,2.7118,0.354,,,,,,
smt2_mem_stream+mem_chase,default,2,mem_stream + mem_chase,5460995,4253436,0.779,0.328,2.374,2.374,41.22,0.01,1295.44,0.0,0.0002,0.999,0.23,0.3755,0.611,0.549,0.3116,1.763,,,,,,
smt2btb2_bsort+bsort,btb2,2,bsort + bsort,3275739,5000000,1.526,1.377,1.109,1.109,0.01,0.02,1.02,0.0,0.1174,0.879,0.763,1.3766,0.554,0.763,1.3766,0.554,,,,,,
smt2btb2_dep_chain+dep_chain,btb2,2,dep_chain + dep_chain,3379198,5999984,1.776,0.887,2.002,2.002,0.0,260.27,0.24,0.0,0.0002,0.999,0.888,0.8868,1.001,0.888,0.8868,1.001,,,,,,
smt2btb2_int_alu+int_alu,btb2,2,int_alu + int_alu,1744319,5999980,3.44,2.712,1.268,1.268,7.13,27.02,0.21,0.0,0.0022,0.994,1.72,2.7118,0.634,1.72,2.7118,0.634,,,,,,
smt2pol_iqcount_int_alu+mem_chase,pol_iqcount,2,int_alu + mem_chase,3125419,3001583,0.96,2.701,0.356,0.356,324.66,0.09,0.39,0.0,0.0031,0.99,0.96,2.7118,0.354,0.001,0.3116,0.002,,,,,,
smt4_int_alu+dep_chain+mem_chase+branchy,default,4,int_alu + dep_chain + mem_chase + branchy,3406731,7483677,2.197,0.777,2.829,2.829,0.35,0.05,63.19,0.0,0.0629,0.978,0.881,2.7118,0.325,0.5,0.8868,0.564,0.461,0.3116,1.478,0.355,0.7692,0.462
