name,kind,width,bp,workloads,policy,cycles,sim_seconds,host_seconds,threads,insts_total,ops_total,insts_t0,ipc_t0,insts_t1,ipc_t1,insts_t2,ipc_t2,insts_t3,ipc_t3,ipc,cpi,ipc_gem5,idle_cycles,cond_predicted,cond_incorrect,cond_mispred_rate,bp_lookups,bp_mispredicted,btb_hits,btb_lookups,commit_branch_mispredicts,mpki,squashed_commit,squashed_decode,squashed_rename,squashed_execute,fetched_insts,rob_full,iq_full,lq_full,sq_full,iew_iq_full,iew_lsq_full,rob_reads,rob_writes,fu_busy_rate,issue_rate,lq_avg_occ,sq_avg_occ,rename_int_lookups,rename_fp_lookups,dcache_misses,dcache_miss_rate,icache_misses,l2_misses,l2_miss_rate,mix_IntAlu,mix_IntMult,mix_IntDiv,mix_FloatAdd,mix_FloatCmp,mix_FloatCvt,mix_FloatMult,mix_FloatMultAcc,mix_FloatDiv,mix_SimdFloatAdd,mix_SimdFloatMult,mix_SimdFloatMultAcc,mix_SimdAlu,mix_SimdMisc,mix_MemRead,mix_MemWrite,mix_FloatMemRead,mix_FloatMemWrite,mix_No_OpClass,program_output
bp_local_w4_branchy,bp,4,local,branchy,,5227045,0.002614,12.51,1,3892612,7918953,3892612,0.7447,,,,,,,0.7447,1.3428,0.744706,5291,1003904,163862,0.1632,1253639,163862,1228048,1253639,163833,42.088,2365753,269,0,302156,6199214,51,1113,0,98155,2,0,13605886,21226896,0.0,1.868239,0.03,0.04,13999716,52,3843,0.005025,164,1204,0.467936,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_local_w4_bsort,bp,4,local,bsort,,2750772,0.001375,8.04,1,2581636,4520690,2581636,0.9385,,,,,,,0.9385,1.0655,0.938513,7691,1278490,90245,0.0706,1625206,90245,1621725,1625206,90483,35.049,2163933,355,0,151719,5354005,28,68,0,4891,3,0,8183493,13945394,0.0,2.224841,0.03,0.06,8778636,62,177,0.000243,192,253,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_local_w4_int_alu,bp,4,local,int_alu,,1365434,0.000683,4.54,1,3703879,3857012,3703879,2.7126,,,,,,,2.7126,0.3686,2.712602,5960,51223,184,0.0036,51645,184,50849,51645,160,0.043,3598,236,0,213,3707261,150012,43803,0,683,2,103,4418241,7722246,0.0,2.826587,0.0,0.0,7413254,46,110,0.077904,160,168,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_static-nt_w1_branchy,bp,1,static-nt,branchy,,10604752,0.005302,12.12,1,3892612,7918953,3892612,0.3671,,,,,,,0.3671,2.7243,0.367063,6857,689459,179636,0.2605,857568,179636,823695,857568,179590,46.136,549347,66,0,812,4490555,22,0,0,6163,0,0,10597801,17485982,0.0,0.781014,0.04,0.03,10910869,28,2479,0.003666,122,1197,0.466849,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_static-nt_w1_bsort,bp,1,static-nt,bsort,,6618148,0.003309,7.76,1,2581636,4520690,2581636,0.3901,,,,,,,0.3901,2.5635,0.390084,9588,802449,160314,0.1998,1124943,160314,1120171,1124943,160250,62.073,639493,84,0,1722,3699194,12,1,0,951,0,0,6608409,10959899,0.0,0.755614,0.04,0.04,6122975,30,130,0.000203,151,244,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_static-nt_w1_int_alu,bp,1,static-nt,int_alu,,4673402,0.002337,5.55,1,3703879,3857012,3703879,0.7925,,,,,,,0.7925,1.2618,0.792544,7768,50802,50350,0.9911,51211,50350,50576,51211,50311,13.583,101227,59,0,50099,4005709,9,0,0,473,0,0,4665535,8017745,0.0,0.846915,0.0,0.0,7810267,30,68,0.048746,119,160,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_static-nt_w4_branchy,bp,4,static-nt,branchy,,5383123,0.002692,13.2,1,3892612,7918953,3892612,0.7231,,,,,,,0.7231,1.3829,0.723114,5010,1033717,179619,0.1738,1438860,179619,1363659,1438860,179606,46.14,3057811,263,0,177728,6736575,46,4,0,1651,1,0,14186887,22840279,0.0,1.893367,0.03,0.02,15204261,64,3847,0.004585,206,1203,0.467729,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
bp_static-nt_w4_bsort,bp,4,static-nt,bsort,,3666078,0.001833,9.73,1,2581636,4520690,2581636,0.7042,,,,,,,0.7042,1.4201,0.704196,7743,1637436,160298,0.0979,2435026,160298,2427283,2435026,160270,62.081,3345038,359,0,298983,7048621,32,5,0,400,1,0,10034568,16609809,0.0,1.949844,0.02,0.02,9996949,68,135,0.000169,218,252,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
bp_static-nt_w4_int_alu,bp,4,static-nt,int_alu,,1800762,0.0009,5.43,1,3703879,3857012,3703879,2.0568,,,,,,,2.0568,0.4862,2.05684,5710,51474,50338,0.9779,102147,50338,100988,102147,50327,13.588,606013,241,0,67193,4593519,28,33336,0,367,2,0,5388705,9094429,0.0,2.264732,0.0,0.0,8500423,50,74,0.045849,173,168,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
bp_static-t_w4_branchy,bp,4,static-t,branchy,,8543883,0.004272,15.44,1,3892612,7918953,3892612,0.4556,,,,,,,0.4556,2.1949,0.455602,5599,1472282,476660,0.3238,1949828,476660,1611819,1949828,477341,122.627,3867574,267,0,1117642,8075503,62,1092,0,98124,2,0,18177539,24542094,0.0,1.248488,0.01,0.02,15037006,86,2597,0.003836,144,1203,0.468276,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
